# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 280:         6.585       53.124       0.52  Eelde
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# 
# STN,YYYYMMDD,  FHX,  FHN
# 
  280,20170805,   70,   20
  280,20170806,   60,    0
  280,20170807,   70,    0
  280,20170808,   70,   20
  280,20170809,   70,    0
  280,20170810,   50,    0
  280,20170811,   30,   10
  280,20170812,   60,   30
  280,20170813,   40,   10
  280,20170814,   50,   20
  280,20170815,   50,   10
  280,20170816,   30,   10
  280,20170817,   60,   10
  280,20170818,   70,   20
  280,20170819,   80,   30
  280,20170820,   80,   30
  280,20170821,   40,    0
  280,20170822,   40,    0
  280,20170823,   40,   20
  280,20170824,   60,   20
  280,20170825,   30,   20
  280,20170826,   40,   10
  280,20170827,   30,   10
  280,20170828,   40,    0
  280,20170829,   60,   10
  280,20170830,   60,   10
  280,20170831,   60,   10
  280,20170901,   40,    0
  280,20170902,   30,    0
  280,20170903,   20,    0
  280,20170904,   30,   10
  280,20170905,   60,   10
  280,20170906,   80,   20
  280,20170907,   50,   10
  280,20170908,   80,   30
  280,20170909,   40,   10
  280,20170910,   90,   20
  280,20170911,  100,   70
  280,20170912,   80,   20
  280,20170913,  150,   50
  280,20170914,   90,   30
  280,20170915,   70,   30
  280,20170916,   60,   10
  280,20170917,   30,   10
  280,20170918,   30,    0
  280,20170919,   40,   10
  280,20170920,   50,   20
  280,20170921,   50,   10
  280,20170922,   40,   10
  280,20170923,   30,    0
  280,20170924,   40,    0
  280,20170925,   30,   10
  280,20170926,   50,   20
  280,20170927,   40,   20
  280,20170928,   30,   10
  280,20170929,   40,   10
  280,20170930,   40,   10
  280,20171001,   70,   20
  280,20171002,   90,   40
  280,20171003,   70,   30
  280,20171004,   90,   40
  280,20171005,  150,   40
  280,20171006,   90,   30
  280,20171007,   80,   40
  280,20171008,   50,   10
  280,20171009,   50,   10
  280,20171010,   70,   30
  280,20171011,   90,   60
  280,20171012,   90,   20
  280,20171013,   80,   30
  280,20171014,   70,   10
  280,20171015,   60,   10
  280,20171016,   60,   20
  280,20171017,   80,   20
  280,20171018,   40,   10
  280,20171019,   30,   10
  280,20171020,   80,   30
  280,20171021,   60,   20
  280,20171022,   70,   50
  280,20171023,   90,   10
  280,20171024,   80,   20
  280,20171025,   90,   30
  280,20171026,   60,   30
  280,20171027,   70,   30
  280,20171028,  100,   50
